Date,Experiment,Facebook,Youtube
2018-4-21,control,2.247,0
2018-4-22,control,0,432.18899999999996
2018-4-23,control,276.84600000000023,0
2018-4-24,control,0,0
2018-4-25,control,191.31600000000006,162.79199999999997
2018-4-26,control,0,0
2018-4-27,control,32.019,0
2018-4-28,control,0,185.02899999999997
2018-4-29,control,0,0
2018-4-30,control,0,0
2018-4-30,intervention,0,25.015
2018-5-1,intervention,0,0
2018-5-2,intervention,99.31400000000002,0
2018-5-3,intervention,0,0
2018-5-4,intervention,0,0
2018-5-5,intervention,0,0
2018-5-6,intervention,0,0
